"","video_id","channelTitle","title","description","tags","publishedAt","viewCount","likeCount","commentCount","duration","definition","caption","publishDayName","durationSecs","tagCount","member"
"1","2aSinq-1CNI","BANGTANTV","[BANGTAN BOMB] Jimin’s #ThisIsJimin Behind - BTS (방탄소년단)","#BANGTANBOMB #방탄밤 #BTS #방탄소년단


Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://i.youku.com/btsofficial 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-23 11:00:01+00:00",1449265,249621,8377,"PT25M14S","hd","true","Saturday",1514,18,"Jimin"
"2","bxgNWNR8zQU","BANGTANTV","'BTS Monuments: Beyond The Star' EP. 3 & 4 Preview","방탄소년단이 성장통을 극복하는 방법, 그리고 ARMY를 향한 진심💝
The 10 years of BTS and beyond.

🗓️12월 27일, 오후 5시 디즈니+에서 EP.3 & 4 공개
🗓️Dec 27, 5PM (KST) exclusively on Disney+

#BTS_Monuments_BeyondTheStar
#BTS_모뉴먼츠_비욘드더스타

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-21 01:00:02+00:00",826006,157305,3093,"PT1M20S","hd","true","Thursday",80,18,"Other"
"3","Qtfiq25vlQw","BANGTANTV","#ThisIsJimin #StuckwithU #지민 #Jimin","Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-20 14:45:03+00:00",621500,167227,4319,"PT1M24S","hd","false","Wednesday",84,18,"Jimin"
"4","LLrBwQROFhM","BANGTANTV","#ThisIsJimin #지민 #Jimin","Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-20 14:45:01+00:00",1050455,252700,2603,"PT31S","hd","false","Wednesday",31,18,"Jimin"
"5","R9NglILj6bk","BANGTANTV","#ThisIsJimin #지민 #Jimin","Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-20 14:45:01+00:00",958777,294145,3253,"PT34S","hd","false","Wednesday",34,18,"Jimin"
"6","7ORHb5kz45Y","BANGTANTV","#ThisIsJimin 여..여보세요?🤣 #지민 #Jimin","Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-20 14:45:00+00:00",1161438,286638,2320,"PT35S","hd","false","Wednesday",35,18,"Jimin"
"7","wgKH82cGKA4","BANGTANTV","#ThisIsJimin 정말 많이 사랑합니다 우리 아미💜 #지민 #Jimin #자정각👀","Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-20 14:30:27+00:00",1115958,267282,10884,"PT1M7S","hd","false","Wednesday",67,18,"Jimin"
"8","DimZTdzszhg","BANGTANTV","[슈취타] EP.24 TEASER","📆 슈취타 EP.24
2023. 12. 26. 10PM KST

#슈가와취하는타임 #슈취타 #SUGA #슈가 

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-19 13:00:03+00:00",1068341,170340,6854,"PT1M15S","hd","true","Tuesday",75,18,"Other"
"9","puPyRex0WwY","BANGTANTV","'BTS Monuments: Beyond The Star' Character Trailer","삶의 의미와 목표를 찾으려 여전히 달려가는 7명의 이야기
Explore the daily lives and innermost thoughts of the seven BTS members as they pursue meaning and purpose in life!

🗓️12월 20일 오후 5시, 디즈니+ 공개
🗓️Dec 20, 5PM (KST) exclusively on Disney+

#BTS_Monuments_BeyondTheStar
#BTS_모뉴먼츠_비욘드더스타

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-19 01:00:01+00:00",1019907,207186,5333,"PT1M30S","hd","true","Tuesday",90,18,"Other"
"10","Y8WfayEHmWw","BANGTANTV","🎬 #StandingNextToYou Performance Video Behind the Scenes #부제1분1초매순간잘생긴정국 #장꾸전정국 #정국 #JungKook","Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-15 06:00:24+00:00",1718235,352999,2986,"PT55S","hd","false","Friday",55,18,"JK"
