video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,publishDayName,durationSecs,tagCount
2aSinq-1CNI,BANGTANTV,[BANGTAN BOMB] Jimin’s #ThisIsJimin Behind - BTS (방탄소년단),"#BANGTANBOMB #방탄밤 #BTS #방탄소년단


Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://i.youku.com/btsofficial 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",2023-12-23 11:00:01+00:00,1449265.0,249621.0,,8377.0,PT25M14S,hd,true,Saturday,1514.0,18
bxgNWNR8zQU,BANGTANTV,'BTS Monuments: Beyond The Star' EP. 3 & 4 Preview,"방탄소년단이 성장통을 극복하는 방법, 그리고 ARMY를 향한 진심💝
The 10 years of BTS and beyond.

🗓️12월 27일, 오후 5시 디즈니+에서 EP.3 & 4 공개
🗓️Dec 27, 5PM (KST) exclusively on Disney+

#BTS_Monuments_BeyondTheStar
#BTS_모뉴먼츠_비욘드더스타

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",2023-12-21 01:00:02+00:00,826006.0,157305.0,,3093.0,PT1M20S,hd,true,Thursday,80.0,18
Qtfiq25vlQw,BANGTANTV,#ThisIsJimin #StuckwithU #지민 #Jimin,"Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",2023-12-20 14:45:03+00:00,621500.0,167227.0,,4319.0,PT1M24S,hd,false,Wednesday,84.0,18
LLrBwQROFhM,BANGTANTV,#ThisIsJimin #지민 #Jimin,"Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",2023-12-20 14:45:01+00:00,1050455.0,252700.0,,2603.0,PT31S,hd,false,Wednesday,31.0,18
R9NglILj6bk,BANGTANTV,#ThisIsJimin #지민 #Jimin,"Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",2023-12-20 14:45:01+00:00,958777.0,294145.0,,3253.0,PT34S,hd,false,Wednesday,34.0,18
7ORHb5kz45Y,BANGTANTV,#ThisIsJimin 여..여보세요?🤣 #지민 #Jimin,"Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",2023-12-20 14:45:00+00:00,1161438.0,286638.0,,2320.0,PT35S,hd,false,Wednesday,35.0,18
wgKH82cGKA4,BANGTANTV,#ThisIsJimin 정말 많이 사랑합니다 우리 아미💜 #지민 #Jimin #자정각👀,"Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",2023-12-20 14:30:27+00:00,1115958.0,267282.0,,10884.0,PT1M7S,hd,false,Wednesday,67.0,18
DimZTdzszhg,BANGTANTV,[슈취타] EP.24 TEASER,"📆 슈취타 EP.24
2023. 12. 26. 10PM KST

#슈가와취하는타임 #슈취타 #SUGA #슈가 

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",2023-12-19 13:00:03+00:00,1068341.0,170340.0,,6854.0,PT1M15S,hd,true,Tuesday,75.0,18
puPyRex0WwY,BANGTANTV,'BTS Monuments: Beyond The Star' Character Trailer,"삶의 의미와 목표를 찾으려 여전히 달려가는 7명의 이야기
Explore the daily lives and innermost thoughts of the seven BTS members as they pursue meaning and purpose in life!

🗓️12월 20일 오후 5시, 디즈니+ 공개
🗓️Dec 20, 5PM (KST) exclusively on Disney+

#BTS_Monuments_BeyondTheStar
#BTS_모뉴먼츠_비욘드더스타

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",2023-12-19 01:00:01+00:00,1019907.0,207186.0,,5333.0,PT1M30S,hd,true,Tuesday,90.0,18
Y8WfayEHmWw,BANGTANTV,🎬 #StandingNextToYou Performance Video Behind the Scenes #부제1분1초매순간잘생긴정국 #장꾸전정국 #정국 #JungKook,"Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",2023-12-15 06:00:24+00:00,1718235.0,352999.0,,2986.0,PT55S,hd,false,Friday,55.0,18
